车系ID,车型,动力形式,纯电续航里程(km)工信部,纯电续航里程(km)CLTC,高压快充平台,充电时间,快充电量(%),电池类型,电芯品牌,电池容量(kWh),电池能量密度(Wh/kg),电动机,电机类型,电动机总功率,电动机总功率(kW),电动机总马力,电动机总马力(Ps),电动机总扭矩,电动机总扭矩(Nm),前电动机最大扭矩,前电动机最大扭矩(Nm),前电动机最大功率,前电动机最大功率(kW),后电动机最大扭矩,后电动机最大扭矩(Nm),后电动机最大功率,后电动机最大功率(kW),驱动电机数,电机布局
3503,埃安AION LX PLUS 80 智尊版,纯电动,650,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,180.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 80D 旗舰版,纯电动,600,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,175.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 80D Max版,纯电动,600,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,175.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 千里版,纯电动,1008,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,未明确显示,144.4,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
6116,远航汽车远航H9 650km 四驱奢享版,纯电动,650,650,800V,快充18分钟,80,三元锂电池,亿纬锂能,98,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
6116,远航汽车远航H9 840km 四驱奢享版,纯电动,840,840,800V,快充18分钟,80,三元锂电池,未明确显示,120,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
6116,远航汽车远航H9 950km 四驱远航版,纯电动,950,950,800V,快充18分钟,80,三元锂电池,未明确显示,150,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10177,岚图岚图知音 后驱乾崑版,纯电动,650,650,800V,快充10分钟,20-80,磷酸铁锂电池,宁德时代,81,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
10177,岚图岚图知音 四驱乾崑版,纯电动,600,600,800V,快充10分钟,20-80,磷酸铁锂电池,宁德时代,81,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10177,岚图岚图知音 超长续航乾崑版,纯电动,901,901,800V,快充32分钟,20-80,三元锂电池,宁德时代,112,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10177,岚图岚图知音 长续航超充版,纯电动,650,650,800V,快充10分钟,10-80,磷酸铁锂电池,宁德时代,79,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10177,岚图岚图知音 超长续航智享版,纯电动,901,901,800V,快充32分钟,10-80,三元锂电池,宁德时代,109,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
20041,小米汽车小米YU7 后驱标准版,纯电动,643,643,800V,快充20分钟,10-80,磷酸铁锂电池,宁德时代,73,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
20041,小米汽车小米YU7 四驱GT,纯电动,705,705,800V,快充12分钟,10-80,三元锂电池,宁德时代,101.7,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
20041,小米汽车小米YU7 后驱长续航版,纯电动,835,835,800V,快充21分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,96.3,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
20041,小米汽车小米YU7 四驱Pro版,纯电动,770,770,800V,快充21分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,96.3,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
20041,小米汽车小米YU7 四驱Max版,纯电动,760,760,800V,快充12分钟,10-80,三元锂电池,宁德时代,101.7,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9345,广汽昊铂昊铂HT 670 Max版,纯电动,672,672,800V,快充15分钟 / 慢充13.4小时,30-80,磷酸铁锂电池,亿纬动力,83.3,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9345,广汽昊铂昊铂HT 825 Pro版,纯电动,825,825,800V,快充15分钟 / 慢充16.5小时,30-80,三元锂电池,中创新航,99.5,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9345,广汽昊铂昊铂HT 825 Max版,纯电动,825,825,800V,快充15分钟 / 慢充16.5小时,30-80,三元锂电池,中创新航,99.5,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
4363,特斯拉Model Y 后轮驱动版,纯电动,593,593,400V,未明确显示,20-80,磷酸铁锂电池,宁德时代,62.5,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
4363,特斯拉Model Y 长续航后轮驱动版,纯电动,821,821,400V,未明确显示,20-80,三元锂电池,LG,78.4,168.0,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
4363,特斯拉Model Y 长续航全轮驱动版,纯电动,750,750,400V,未明确显示,20-80,三元锂电池,LG,78.4,168.0,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5308,阿维塔阿维塔 11 Max后驱纯电版,纯电动,815,815,800V,快充25分钟 / 慢充13.5小时,30-80,三元锂电池,宁德时代,116.79,190.0,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
5308,阿维塔阿维塔 11 Max四驱纯电版,纯电动,760,760,800V,快充25分钟 / 慢充13.5小时,30-80,三元锂电池,宁德时代,116.79,190.0,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5308,阿维塔阿维塔 11 改款 Ultra四驱纯电版,纯电动,760,760,800V,快充25分钟 / 慢充13.5小时,30-80,三元锂电池,宁德时代,116.79,190.0,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5308,阿维塔阿维塔 11 暗夜骑士版,纯电动,760,760,800V,快充25分钟 / 慢充13.5小时,30-80,三元锂电池,宁德时代,116.79,190.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5308,阿维塔阿维塔 11 改款 皇家剧院版,纯电动,760,760,800V,快充25分钟 / 慢充13.5小时,30-80,三元锂电池,宁德时代,116.79,190.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9778,极氪ZEEKR 7X 75kWh后驱 Max版,纯电动,620,620,800V,快充11分钟 / 慢充10.7小时,10-80,磷酸铁锂电池,衢州极电,75,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
9778,极氪ZEEKR 7X 103kWh后驱 Max版,纯电动,802,802,900V,快充10分钟 / 慢充14.7小时,10-80,三元锂电池,时代吉利,103,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
9778,极氪ZEEKR 7X 103kWh四驱 Ultra版,纯电动,715,715,900V,快充10分钟 / 慢充14.7小时,10-80,三元锂电池,时代吉利,103,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9778,极氪ZEEKR 7X 75kWh 后驱智驾版,纯电动,605,605,800V,快充11分钟 / 慢充10.7小时,10-80,磷酸铁锂电池,衢州极电,75,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
9778,极氪ZEEKR 7X 100kWh 长续航后驱智驾版,纯电动,780,780,800V,快充15分钟 / 慢充14.29小时,10-80,三元锂电池,时代吉利,100,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
9778,极氪ZEEKR 7X 100kWh 长续航四驱智驾版,纯电动,705,705,800V,快充15分钟 / 慢充14.29小时,10-80,三元锂电池,时代吉利,100,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10180,智界智界R7 纯电 Max(192线激光雷达),纯电动,667,667,800V,快充15分钟,30-80,三元锂电池,中创新航,82,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10180,智界智界R7 纯电 Max+(192线激光雷达),纯电动,802,802,800V,快充15分钟,30-80,三元锂电池,江苏时代,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10180,智界智界R7 纯电 UItra(192线激光雷达),纯电动,736,736,800V,快充15分钟,30-80,三元锂电池,江苏时代,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10180,智界智界R7 纯电 Max(896线激光雷达),纯电动,667,667,800V,快充15分钟,30-80,三元锂电池,中创新航,82,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10180,智界智界R7 纯电 Max+(896线激光雷达),纯电动,802,802,800V,快充15分钟,30-80,三元锂电池,江苏时代,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10180,智界智界R7 纯电 UItra(896线激光雷达),纯电动,736,736,800V,快充15分钟,30-80,三元锂电池,江苏时代,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10162,红旗红旗天工06 700 长续航版,纯电动,700,700,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/中汽新能,85,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10162,红旗红旗天工06 660 四驱性能版,纯电动,660,660,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/中汽新能,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10162,红旗红旗天工06 780 智选版,纯电动,780,780,900V,快充12分钟,10-80,三元锂电池,宁德时代,98,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10162,红旗红旗天工06 730 四驱智选版,纯电动,730,730,900V,快充12分钟,10-80,三元锂电池,宁德时代,98,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5805,奔驰EQS SUV 2025款 EQS 500 4MATIC,纯电动,777,777,未明确显示,快充35分钟 慢充17小时,10-80,三元锂电池,未明确显示,122,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
25079,奥迪Q6L Sportback e-tron 2026款 长续航版,纯电动,677,677,800V,快充25分钟,10-80,磷酸铁锂电池,弗迪,95,143.5,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25079,奥迪Q6L Sportback e-tron 2026款 超长续航乾崑智驾版,纯电动,715,715,800V,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25079,奥迪Q6L Sportback e-tron 2026款 quattro乾崑智驾版,纯电动,675,675,800V,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
25079,奥迪Q6L Sportback e-tron 2026款 超长续航版,纯电动,765,765,800V,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25079,奥迪Q6L Sportback e-tron 2026款 首发领航版,纯电动,715,715,未明确显示,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
8966,星纪元ET 2025款 纯电版 Max城区辅助驾驶,纯电动,760,760,400V,快充15分钟 慢充16.5小时,30-80,三元锂电池,宁德时代,100,190.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
8966,星纪元ET 2025款 纯电版 Ultra四驱城区辅助驾驶,纯电动,655,655,未明确显示,快充15分钟 慢充16.5小时,30-80,三元锂电池,宁德时代,100,190.0,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
25994,钛7 EV 2026款 755KM后驱闪充版,纯电动,755,755,未明确显示,快充5分钟,10-70,磷酸铁锂电池,弗迪,105.7,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
25994,钛7 EV 2026款 675KM四驱闪充版,纯电动,675,675,未明确显示,快充5分钟,10-70,磷酸铁锂电池,弗迪,105.7,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5832,Polestar 4 2025款 豪华版,纯电动,755,755,未明确显示,快充30分钟 慢充17.5小时,10-80,三元锂电池,时代吉利,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5832,Polestar 4 2025款 性能版,纯电动,620,620,未明确显示,快充30分钟 慢充17.5小时,10-80,三元锂电池,时代吉利,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9440,奥迪Q6L e-tron 2026款 长续航版,纯电动,672,672,800V,快充25分钟,10-80,磷酸铁锂电池,弗迪,95,143.5,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9440,奥迪Q6L e-tron 2026款 超长续航乾崑智驾版,纯电动,709,709,800V,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9440,奥迪Q6L e-tron 2026款 quattro乾崑智驾版,纯电动,668,668,800V,快充21分钟,10-80,三元锂电池,宁德时代,107,173.2,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
